_id,fid,au_number,inst_name,category,iu,phone_number,location_address,location_city,location_state,location_zip_code,location_1,title,salutation,first_name,middle_init,last_name,admin_phone,admin_pho_1
21586,268,300026700,Valley Special Needs,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,425 Bechman St,Springdale,PA,15144,1101, , , , , , , 
21587,269,300026710,Valley Special Needs,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,26 Chestnut St,Natrona,PA,15065,2640, , , , , , , 
21588,270,202029605,Vincentian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)364-1616,8100 McKnight Road,Pittsburgh,PA,15237,0,Principal,Mrs,Rita, ,Canton, , 
21589,271,203020009,Virtuous Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)896-6701,One Library Place,Duquesne,PA,15110,0,Principal, ,Iyana, ,Tennon, , 
21590,272,300028690,Waldorf School of Pittsburgh,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)441-5792,201 S Winebiddle St,Pittsburgh,PA,15224,0,Director,Ms,Robyn,L,Thomas,(412)732-2952, 
21591,273,203029635,Walnut Grove Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)469-3280,44 Adams Ave,West Mifflin,PA,15122,2777,Principal,Ms,Connie, ,Williamson, , 
21592,274,300022370,Watson Institute Education Center,Approved Private School,Allegheny IU 3,(412)741-1800,301 Camp Meeting Rd,Sewickley,PA,15143,0,Director,Ms,Michele, ,Trettel,(412)341-3256, 
21593,275,303028175,Watson Institute Education Center South,Approved Private School,Allegheny IU 3,(412)741-1800,230 Hickory Grade Rd,Bridgeville,PA,15017,0,Director,Ms,Michele,E,Trettel,(412)341-3256, 
21594,276,300029270,Watson Institute Friendship Academy (The),Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)365-3800,255 S Negley Avenue,Pittsburgh,PA,15206,0,Director,Ms,Lauri,L,Kragness,(724)744-3108, 
21595,277,303020014,Watson Institute LEAP Preschool,"Licensed, Private Academic School",Allegheny IU 3,(412)781-1708,200 Linden St,Pittsburgh,PA,15215,0,Director,Ms,Marilyn,J,Hoyson,(412)343-1604, 
21596,278,302020013,Watson Institute Social Center for Academic Achievement,"Licensed, Private Academic School",Allegheny IU 3,(412)361-2801,200 Linden Ave.,Pittsburgh,PA,15215,2322,Director,Ms,Marcia,K,Laus,(412)370-0575, 
21597,279,300028750,Wesley - Penn Residence,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,6027 Library Rd,Bethel Park,PA,15102,4011, , , , , , , 
21598,280,300028760,Wesley - Ridge View Itu,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)221-6853,344 Hickory Grade Rd,Bridgeville,PA,15017,1232, , , , , , , 
21599,281,300029690,Wesley Life Skills A Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,265 Mabrick Ave,Pittsburgh,PA,15228,1366, , , , , , , 
21600,282,300029330,Wesley Spectrum High School,Approved Private School,Allegheny IU 3,(412)885-7017,5250 Caste Dr,Pittsburgh,PA,15236,0,Director,Ms,Amy,K,Townsend,(412)821-3904, 
21601,283,300029680,Wesley Spectrum K-9 School,Approved Private School,Allegheny IU 3,(412)833-6444,243 Johnston Rd,Pittsburgh,PA,15241,0,Director,Ms,Amy, ,Townsend,(412)831-9390, 
21602,284,203029235,Wesley Spectrum Services,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)831-9390,243 Johnston Road,Pittsburgh,PA,15241,2534, , , , , , , 
21603,285,203024075,Western PA Montessori School Inc,"Licensed, Private Academic School",Allegheny IU 3,(412)487-2700,2379 Wyland Ave,Allison Park,PA,15101,0,Director,Ms,Jamie,L,Campbell,(412)487-2700, 
21604,286,300029830,Western PA School for Blind,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)621-0100,201 N Bellefield Ave,Pittsburgh,PA,15213,1458,Principal, ,Carol, ,Wooten, , 
21605,287,300029840,Western PA School for Deaf,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)371-7000,300 E Swissvale Ave,Pittsburgh,PA,15218,1469,Principal,Ms,Barbara,J,Manning, , 
21606,288,300029810,Western Psych Institute & Clinic,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)246-5171,3811 Ohara Street,Pittsburgh,PA,15213,0,Director,Mr,William,C,Davies,(412)341-1130, 
21607,289,303020089,Westminster Nursery School,"Licensed, Private Academic School",Allegheny IU 3,(412)835-2906,2040 Washington Rd,Pittsburgh,PA,15241,0,Director,Ms,Tracy,L,Edwards,(716)628-3192, 
21608,290,300029560,Whales Tale,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,250 Shady Ave,Pittsburgh,PA,15206,4338, , , , , , , 
21609,291,300026610,Whales Tale Ad Skill Adv P Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1141 South Ave,Pittsburgh,PA,15221,3005, , , , , , , 
21610,292,300026620,Whales Tale Family Treatment C,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,844 Proctor Way,Pittsburgh,PA,15210,1673, , , , , , , 
21611,293,300026630,Whales Tale Lawrenceville Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,3501 Liberty Ave,Pittsburgh,PA,15201,1324, , , , , , , 
21612,294,300026640,Whales Tale Millvale Center,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,413 Evergreen Ave,Pittsburgh,PA,15209,2164, , , , , , , 
21613,295,300026650,Whales Tale Negley Center,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,814 S Negley Ave,Pittsburgh,PA,15232,2508, , , , , , , 
21614,296,300026660,Whales Tale Plum Center,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,720 Center Rd,Pittsburgh,PA,15239,2234, , , , , , , 
21615,297,300026550,Whales Tale Teen Parent,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,416 Olive St,Mc Keesport,PA,15132,3112, , , , , , , 
21616,298,203028815,Winchester Thurston North,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)486-8341,4225 Middle Road,Allison Park,PA,15101,0,Principal, ,Gary, ,Niels, , 
21617,299,202029805,Winchester Thurston School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)578-7500,555 Morewood Ave,Pittsburgh,PA,15213,2810,Principal,Mr,Gary, ,Niels, , 
21618,300,300026690,Woolslair Gifted Center,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,501 40th St,Pittsburgh,PA,15224,1458, , , , , , , 
21619,301,202029905,Yeshiva Achei Tmimim Schools,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)422-7300,6401 Forbes Avenue,Pittsburgh,PA,15217,0,Principal,Mr,Yisroel, ,Rosenfeld, , 
21620,302,202029925,Yeshiva Achei Tmimim Schools,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)422-7300,2100 Wightman St,Pittsburgh,PA,15217,2014,Principal,Rabbi,Yisroel, ,Rosenfeld, , 
21621,303,300029960,YMCA of Pittsburgh East Comm,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)795-2600,11817 Frankstown Rd,Pittsburgh,PA,15235,3409, , , , , , , 
21622,304,300028780,Youngworld,"Licensed, Private Academic School",Allegheny IU 3,(412)367-2212,2281 Rochester Rd,Pittsburgh,PA,15237,0,Director,Ms,Janet,M,Evankovich,(724)452-9418, 
21623,305,300029998,Yvonnes Child Care,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,7921 Frankstown Ave,Pittsburgh,PA,15221,1327, , , , , , , 
21624,306,300029890,YWCA Greater Pittsburgh,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)255-1293,305 Wood Street,Pittsburgh,PA,15222,1914, , , , , , , 
